Tipologia grafo,Node,Degree Centrality,Betweenness Centrality,Closeness Centrality,Pagerank,Hubness,Authority
Grafo Originale,David La Barbera,0.11842105263157894,0.041588972431077696,0.49673202614379086,0.03405587405385561,0.04346904512160737,0.043469045121607396
Grafo Originale,Kevin Roitero,0.2631578947368421,0.21626399331662471,0.5757575757575758,0.0775016796307573,0.06512076712580046,0.06512076712580045
Grafo Originale,Stefano Mizzaro,0.2631578947368421,0.2816441102756892,0.5757575757575758,0.08365743073915234,0.05844827284732539,0.058448272847325275
Grafo Originale,Gianluca Demartini,0.2763157894736842,0.33126900584795294,0.5801526717557252,0.09145296783478074,0.055122979761500296,0.05512297976150038
Grafo Originale,Damiano Spina,0.2763157894736842,0.34132247284878847,0.5390070921985816,0.09493115461392151,0.0489341290964986,0.048934129096498594
Grafo Originale,Michael Soprano,0.23684210526315788,0.1961127819548872,0.5671641791044776,0.06959577890405749,0.06024959138905677,0.06024959138905677
Grafo Originale,Vincenzo Della Mea,0.06578947368421052,0.0012865497076023386,0.4393063583815029,0.018831222752621838,0.03351799884473446,0.03351799884473448
Grafo Originale,Davide Ceolin,0.05263157894736842,0.0012865497076023386,0.41304347826086957,0.015275800067561,0.02656608804100414,0.026566088041004136
Grafo Originale,Tim Draws,0.02631578947368421,0.0,0.3671497584541063,0.008451234372164091,0.012336424578192841,0.012336424578192827
Grafo Originale,Joel Mackenzie,0.013157894736842105,0.0,0.3333333333333333,0.005164588133181427,0.005170262690192948,0.005170262690192944
Grafo Originale,Beatrice Portelli,0.02631578947368421,0.0,0.38,0.008528591769052124,0.014911707521343203,0.014911707521343204
Grafo Originale,Giuseppe Serra,0.013157894736842105,0.0,0.36363636363636365,0.005234698187034612,0.007166161887999891,0.0071661618879998905
Grafo Originale,Shaoyang Fan,0.02631578947368421,0.0,0.38,0.008528591769052124,0.014911707521343203,0.014911707521343206
Grafo Originale,Giuseppe Primiero,0.013157894736842105,0.0,0.36363636363636365,0.005234698187034612,0.007166161887999891,0.007166161887999888
Grafo Originale,Jan Wielemaker,0.013157894736842105,0.0,0.36363636363636365,0.005234698187034612,0.007166161887999891,0.007166161887999889
Grafo Originale,Alessandro Checco,0.05263157894736842,0.0,0.4393063583815029,0.01576092099449492,0.02795222162857253,0.027952221628572516
Grafo Originale,Afshin Rahimi,0.013157894736842105,0.0,0.36363636363636365,0.005234698187034612,0.007166161887999891,0.007166161887999888
Grafo Originale,Andrea Brunello,0.02631578947368421,0.0,0.38,0.008528591769052124,0.014911707521343203,0.014911707521343201
Grafo Originale,Tetsuya Sakai,0.013157894736842105,0.0,0.36363636363636365,0.005234698187034612,0.007166161887999891,0.007166161887999891
Grafo Originale,Eddy Maddalena,0.2763157894736842,0.273436090225564,0.5205479452054794,0.08723342627726265,0.05451529784697347,0.05451529784697351
Grafo Originale,Mihai Horia Popescu,0.013157894736842105,0.0,0.3671497584541063,0.005241945530069459,0.0077455456333433105,0.007745545633343317
Grafo Originale,Falk Scholer,0.05263157894736842,0.011578947368421052,0.4550898203592814,0.01616963043018272,0.027001860892045405,0.027001860892045423
Grafo Originale,J. Shane Culpepper,0.013157894736842105,0.0,0.3671497584541063,0.005241945530069459,0.0077455456333433105,0.007745545633343314
Grafo Originale,Yunke Qu,0.013157894736842105,0.0,0.3671497584541063,0.005241945530069459,0.0077455456333433105,0.007745545633343317
Grafo Originale,Mark Sanderson,0.039473684210526314,0.0,0.4222222222222222,0.012638958316803322,0.020517743062577417,0.020517743062577427
Grafo Originale,Rishabh Mehrotra,0.013157894736842105,0.0,0.3671497584541063,0.005241945530069459,0.0077455456333433105,0.0077455456333433165
Grafo Originale,Mounia Lalmas,0.013157894736842105,0.0,0.3671497584541063,0.005241945530069459,0.0077455456333433105,0.00774554563334332
